id_group,time_bin,sum
1024681,2010-01-01 00:00:00,184
1024681,2011-01-01 00:00:00,196
1024681,2012-01-01 00:00:00,240
1024681,2013-01-01 00:00:00,195
1024681,2014-01-01 00:00:00,137
10247582,2013-01-01 00:00:00,5
10249452,2013-01-01 00:00:00,2
10249452,2014-01-01 00:00:00,12
10250572,2013-01-01 00:00:00,6
10250572,2014-01-01 00:00:00,6
102531,2004-01-01 00:00:00,0
102531,2005-01-01 00:00:00,8
102531,2006-01-01 00:00:00,24
102531,2007-01-01 00:00:00,34
102531,2008-01-01 00:00:00,35
102531,2009-01-01 00:00:00,31
10255142,2013-01-01 00:00:00,76
10258632,2013-01-01 00:00:00,14
10258632,2014-01-01 00:00:00,28
10259232,2013-01-01 00:00:00,52
10259232,2014-01-01 00:00:00,114
10259372,2013-01-01 00:00:00,8
10260052,2013-01-01 00:00:00,16
10260052,2014-01-01 00:00:00,12
10260602,2013-01-01 00:00:00,135
10260602,2014-01-01 00:00:00,261
10260652,2013-01-01 00:00:00,37
10260652,2014-01-01 00:00:00,33
10261562,2013-01-01 00:00:00,28
10261562,2014-01-01 00:00:00,8
10263822,2013-01-01 00:00:00,92
10263822,2014-01-01 00:00:00,313
1026450,2008-01-01 00:00:00,40
1026450,2009-01-01 00:00:00,56
1026450,2010-01-01 00:00:00,1
1026450,2011-01-01 00:00:00,5
1026450,2012-01-01 00:00:00,3
1026450,2013-01-01 00:00:00,1
10274502,2013-01-01 00:00:00,2
10274502,2014-01-01 00:00:00,80
1027534,2008-01-01 00:00:00,7
1027534,2011-01-01 00:00:00,2
1027534,2012-01-01 00:00:00,15
1027534,2013-01-01 00:00:00,5
1027534,2014-01-01 00:00:00,7
10275782,2013-01-01 00:00:00,4
1027874,2008-01-01 00:00:00,7
1027874,2009-01-01 00:00:00,15
1027874,2010-01-01 00:00:00,26
1027874,2011-01-01 00:00:00,17
1027874,2012-01-01 00:00:00,38
1027874,2013-01-01 00:00:00,25
1027874,2014-01-01 00:00:00,10
1028350,2008-01-01 00:00:00,61
1028350,2009-01-01 00:00:00,38
1028350,2010-01-01 00:00:00,38
1028350,2011-01-01 00:00:00,18
1028350,2012-01-01 00:00:00,98
1028350,2013-01-01 00:00:00,247
1028350,2014-01-01 00:00:00,36
10287072,2013-01-01 00:00:00,39
10287072,2014-01-01 00:00:00,6
10289442,2013-01-01 00:00:00,36
10289442,2014-01-01 00:00:00,38
10290312,2013-01-01 00:00:00,10
10290312,2014-01-01 00:00:00,1
10292882,2013-01-01 00:00:00,15
10292882,2014-01-01 00:00:00,8
10294932,2013-01-01 00:00:00,137
10294932,2014-01-01 00:00:00,336
1029932,2008-01-01 00:00:00,250
1029932,2009-01-01 00:00:00,250
1029932,2010-01-01 00:00:00,260
1029932,2011-01-01 00:00:00,359
1029932,2012-01-01 00:00:00,242
1029932,2013-01-01 00:00:00,308
1029932,2014-01-01 00:00:00,101
10304202,2013-01-01 00:00:00,3
10304202,2014-01-01 00:00:00,68
10308812,2013-01-01 00:00:00,37
1031077,2008-01-01 00:00:00,10
1031077,2009-01-01 00:00:00,9
1031077,2010-01-01 00:00:00,30
1031077,2011-01-01 00:00:00,41
1031077,2012-01-01 00:00:00,66
1031077,2013-01-01 00:00:00,100
1031077,2014-01-01 00:00:00,71
10310822,2013-01-01 00:00:00,1
10314802,2013-01-01 00:00:00,97
10318672,2013-01-01 00:00:00,6
10318672,2014-01-01 00:00:00,1
10319872,2013-01-01 00:00:00,13
10320182,2013-01-01 00:00:00,3
10320182,2014-01-01 00:00:00,16
10322312,2013-01-01 00:00:00,48
10322312,2014-01-01 00:00:00,247
10324172,2013-01-01 00:00:00,21
10324172,2014-01-01 00:00:00,99
10324682,2013-01-01 00:00:00,17
10324682,2014-01-01 00:00:00,93
10326822,2013-01-01 00:00:00,91
10326822,2014-01-01 00:00:00,627
10327312,2013-01-01 00:00:00,214
10327312,2014-01-01 00:00:00,31
10327732,2013-01-01 00:00:00,59
10327732,2014-01-01 00:00:00,115
10334972,2013-01-01 00:00:00,21
10334972,2014-01-01 00:00:00,219
10335262,2013-01-01 00:00:00,1
1033717,2008-01-01 00:00:00,11
1033717,2009-01-01 00:00:00,18
1033717,2010-01-01 00:00:00,1
1033717,2011-01-01 00:00:00,2
1033717,2012-01-01 00:00:00,1
