name_category,shortname_category,sum,avg,time_bin
sports/recreation,sports-recreation,88098.0,423.5480769230769,2013-01-01 00:00:00
sports/recreation,sports-recreation,78106.0,273.0979020979021,2014-01-01 00:00:00
support,support,12.0,12.0,2005-01-01 00:00:00
support,support,67.0,22.333333333333332,2006-01-01 00:00:00
support,support,210.0,17.5,2007-01-01 00:00:00
support,support,344.0,31.272727272727273,2008-01-01 00:00:00
support,support,465.0,25.833333333333332,2009-01-01 00:00:00
support,support,982.0,37.76923076923077,2010-01-01 00:00:00
support,support,4337.0,111.2051282051282,2011-01-01 00:00:00
support,support,7458.0,177.57142857142858,2012-01-01 00:00:00
support,support,4265.0,60.070422535211264,2013-01-01 00:00:00
support,support,3138.0,31.38,2014-01-01 00:00:00
tech,tech,64.0,8.0,2004-01-01 00:00:00
tech,tech,452.0,45.2,2005-01-01 00:00:00
tech,tech,2962.0,113.92307692307692,2006-01-01 00:00:00
tech,tech,7363.0,144.37254901960785,2007-01-01 00:00:00
tech,tech,10709.0,139.07792207792207,2008-01-01 00:00:00
tech,tech,20828.0,172.13223140495867,2009-01-01 00:00:00
tech,tech,38980.0,204.08376963350784,2010-01-01 00:00:00
tech,tech,67528.0,223.60264900662253,2011-01-01 00:00:00
tech,tech,119308.0,276.1759259259259,2012-01-01 00:00:00
tech,tech,188671.0,291.60896445131374,2013-01-01 00:00:00
tech,tech,168870.0,231.64609053497944,2014-01-01 00:00:00
women,women,58.0,58.0,2006-01-01 00:00:00
women,women,59.0,19.666666666666668,2007-01-01 00:00:00
women,women,493.0,61.625,2008-01-01 00:00:00
women,women,416.0,41.6,2009-01-01 00:00:00
women,women,951.0,47.55,2010-01-01 00:00:00
women,women,1827.0,58.935483870967744,2011-01-01 00:00:00
women,women,2693.0,57.297872340425535,2012-01-01 00:00:00
women,women,4734.0,76.35483870967742,2013-01-01 00:00:00
women,women,3847.0,44.73255813953488,2014-01-01 00:00:00
